1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.968582,0.976555,0.986115,0.99041,0.996108,1.00012,1.01646,1.01952,1.03978,1.06423,1.09473,1.10695,1.12885
0.938151,0.938151,0.938151,0.938151,0.939275,0.939558,0.941923,0.943712,0.946448,0.948538,0.952215,0.95827,0.965248,0.966763,0.970858,0.978503,0.987698,0.99543,1.00936,1.01842,1.02548,1.03115,1.04526,1.06419,1.08018,1.1152,1.13654,1.18345
0.9101,0.911392,0.914104,0.91752,0.91992,0.923086,0.926012,0.927659,0.930103,0.94144,0.9427,0.948931,0.955278,0.961463,0.966525,0.971881,0.98308,0.993513,1.01044,1.01338,1.02949,1.04975,1.06757,1.08966,1.09497,1.11235,1.17489,1.20197
0.885098,0.890038,0.897246,0.899591,0.902063,0.907242,0.909789,0.919825,0.928907,0.936475,0.937907,0.944421,0.952403,0.957514,0.97301,0.991703,1.00211,1.00339,1.01108,1.02636,1.04671,1.05911,1.07271,1.08461,1.112,1.13861,1.19893,1.24094
0.866138,0.871651,0.875454,0.882978,0.8864,0.896972,0.902174,0.909822,0.919402,0.922274,0.927929,0.936968,0.947096,0.953004,0.975681,0.979627,1.00824,1.01204,1.02422,1.03691,1.04472,1.06424,1.07366,1.10459,1.11654,1.15452,1.23602,1.26993
0.848379,0.85502,0.860793,0.872816,0.878003,0.884441,0.892832,0.897908,0.904145,0.911766,0.926933,0.929651,0.940898,0.947752,0.969406,0.992342,1.00265,1.00435,1.02586,1.04128,1.04825,1.05994,1.08977,1.11934,1.1268,1.16597,1.225,1.364
0.8327,0.835474,0.851332,0.858783,0.862469,0.874112,0.883062,0.887235,0.893355,0.907435,0.922763,0.926189,0.933764,0.944975,0.954534,0.989652,1.00157,1.00643,1.0187,1.03022,1.05127,1.08033,1.09762,1.10968,1.16023,1.18315,1.23195,1.45279
0.810981,0.826166,0.846073,0.853847,0.85579,0.864089,0.87147,0.878176,0.887984,0.908503,0.923652,0.929866,0.931802,0.954232,0.972071,0.974888,0.998551,1.00854,1.02408,1.03743,1.04869,1.06794,1.09439,1.11328,1.16259,1.2032,1.25434,1.51134
0.798697,0.80979,0.831083,0.842451,0.851415,0.86503,0.869263,0.882337,0.890456,0.899704,0.919736,0.923124,0.935042,0.953078,0.96588,0.978596,0.986374,1.01325,1.02822,1.03792,1.04704,1.06575,1.10126,1.12739,1.16845,1.20064,1.24086,1.57081
